workflow,inputsize,task,machine,time,memory,wchar,taskinputsize
atacseq,2223941232,bwa_mem,asok01,636425,7584305152,4133003668,1987844376
atacseq,2223941232,bwa_mem,asok02,622137,7590084608,4133003664,1987844376
atacseq,2223941232,bwa_mem,c2,400676,7588139008,4133003636,1987844376
atacseq,2223941232,bwa_mem,n1,550307,7582695424,4133003653,1987844376
atacseq,2223941232,bwa_mem,n2,447287,7581798400,4133003652,1987844376
atacseq,2223941232,fastqc,asok01,116061,1040146432,3600276,2223941232
atacseq,2223941232,fastqc,asok02,112096,1038708736,3600268,2223941232
atacseq,2223941232,fastqc,c2,47502,1041604608,3600250,2223941232
atacseq,2223941232,fastqc,n1,75877,1078325248,3600268,2223941232
atacseq,2223941232,fastqc,n2,54686,1039855616,3600267,2223941232
atacseq,2223941232,merged_lib_ataqv,asok01,55927,80216064,601469,591007317
atacseq,2223941232,merged_lib_ataqv,asok02,58758,81928192,601479,591007317
atacseq,2223941232,merged_lib_ataqv,c2,28149,80048128,601455,591007317
atacseq,2223941232,merged_lib_ataqv,n1,58152,80998400,601469,591007317
atacseq,2223941232,merged_lib_ataqv,n2,31102,81641472,601457,591007317
atacseq,2223941232,merged_lib_bam,asok01,406653,7926202368,590418036,575395243
atacseq,2223941232,merged_lib_bam,asok02,411751,7436701696,590418034,575395243
atacseq,2223941232,merged_lib_bam,c2,177459,8450392064,590418019,575395243
atacseq,2223941232,merged_lib_bam,n1,290923,8392060928,590418021,575395243
atacseq,2223941232,merged_lib_bam,n2,200795,8456257536,590418023,575395243
atacseq,2223941232,merged_lib_bam_filter,asok01,221290,2759352320,1343340069,588524494
atacseq,2223941232,merged_lib_bam_filter,asok02,219141,2759606272,1343340067,588524494
atacseq,2223941232,merged_lib_bam_filter,c2,126138,2759159808,1343340054,588524494
atacseq,2223941232,merged_lib_bam_filter,n1,219791,2758782976,1343340045,588524494
atacseq,2223941232,merged_lib_bam_filter,n2,138828,2758959104,1343340043,588524494
atacseq,2223941232,merged_lib_bam_remove_orphan,asok01,130052,2714521600,884119901,892371900
atacseq,2223941232,merged_lib_bam_remove_orphan,asok02,128899,2714718208,884119899,892371900
atacseq,2223941232,merged_lib_bam_remove_orphan,c2,67750,2713939968,884119885,892371900
atacseq,2223941232,merged_lib_bam_remove_orphan,n1,106261,2714120192,884119877,892371900
atacseq,2223941232,merged_lib_bam_remove_orphan,n2,74081,2714193920,884119877,892371900
